strain_name	virus	NCBI_code	host	AustralianState_city	year_month_day	lat	long	Genotype
RRV|xxx|138_BrackenRidge|Cx_annulirostris|QLD_Brisbane|2022_02_04	RRV	PP496989	Cx_annulirostris	QLD_Brisbane	2022-02-04	-27.47	153.01	G4B
RRV|xxx|329_Indooroopilly|Cx_annulirostris|QLD_Brisbane|2022_03_09	RRV	PP496990	Cx_annulirostris	QLD_Brisbane	2022-03-09	-27.47	153.01	G4B
RRV|GQ433354|QML_1|Human|QLD|2004	RRV	GQ433354	Human	QLD	2004	-21.50	148.92	G4A
RRV|MH987779|MIDI13|Human|QLD|2016_03	RRV	MH987779	Human	QLD	2016-03	-21.50	148.92	G4A
RRV|MK028844|ORegan|Human|QLD_Craignish|1994	RRV	MK028844	Human	QLD_Craignish	1994	-25.28	152.73	G4A
RRV|MN038231|K70883|Cx_annulirostris|WA_HallsCreek|2010_03_23	RRV	MN038231	Cx_annulirostris	WA_HallsCreek	2010-03-23	-18.22	127.67	G4A
RRV|MN038232|K70905|Ae_tremulus|WA_HallsCreek|2010_03_23	RRV	MN038232	Ae_tremulus	WA_HallsCreek	2010-03-23	-18.22	127.67	G4A
RRV|MN038241|P1170|Cx_annulirostris|WA_WhimCreek|1994_03_11	RRV	MN038241	Cx_annulirostris	WA_WhimCreek	1994-03-11	-20.84	117.82	G4A
RRV|MN038242|P1373|An_amictus|WA_Pardoo|1994_03_14	RRV	MN038242	An_amictus	WA_Pardoo	1994-03-14	-20.07	119.82	G4A
RRV|MN038243|P5131|Ae_normanensis|WA_Newman|1997_03_07	RRV	MN038243	Ae_normanensis	WA_Newman	1997-03-07	-23.39	119.79	G4A
RRV|MW489504|ARBO012|Ae_camptorhynchus|VIC_Wellington|2013_11_11	RRV	MW489504	Ae_camptorhynchus	VIC_Wellington	2013-11-11	-37.95	146.99	G4A
RRV|OP950207|W4702_WEL_003_16|Mosquito_trap_homogenate|VIC_Wellington|2016_11_21	RRV	OP950207	Mosquito_trap_homogenate	VIC_Wellington	2016-11-21	-37.95	146.99	G4A
RRV|MW238766|PNG3075|Mosquito|Papua_New_Guinea|1997_04	RRV	MW238766	Mosquito	Papua_New_Guinea	1997-04	-9.02	146.82	PNG
RRV|MN038196|218072|Human|Cook_Islands|1980	RRV	MN038196	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038197|218081|Human|Cook_Islands|1980	RRV	MN038197	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038198|218100|Human|Cook_Islands|1980	RRV	MN038198	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038199|218397|Human|Cook_Islands|1980	RRV	MN038199	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038200|AN205|Cx_annulirostris|WA_ArgyleMine|1982_03_18	RRV	MN038200	Cx_annulirostris	WA_ArgyleMine	1982-03-18	-16.72	128.39	G3
RRV|MN038216|F9073|Human|Fiji|1979	RRV	MN038216	Human	Fiji	1979	-17.78	177.43	G3
RRV|MN038217|K1008|Ae_normanensis|WA_Kununurra|1986_03_02	RRV	MN038217	Ae_normanensis	WA_Kununurra	1986-03-02	-15.76	128.72	G3
RRV|MN038220|K2505|Cx_annulirostris|WA_Kununurra|1984_03_05	RRV	MN038220	Cx_annulirostris	WA_Kununurra	1984-03-05	-15.76	128.72	G3
RRV|MN038248|P41453|Human|Fiji|1979	RRV	MN038248	Human	Fiji	1979	-17.78	177.43	G3
RRV|MN038249|P41472|Human|American_Samoa|1979	RRV	MN038249	Human	American_Samoa	1979	-14.34	-170.73	G3
RRV|MN038250|P41971|Human|Cook_Islands|1980	RRV	MN038250	Human	Cook_Islands	1980	-21.21	-159.78	G3
